id,EventID,MissionID,ExecutionID,ExecutionSequenceNumber,MissionSequenceNumber,OperationType,FieldMask,OperationStatus,MissionType,MissionName,MissionTimestamp,AgentID,ResourceID,StartTime,EndTime,Duration,OriginLocation,DestinationLocation,IsLocked,SchedulingType,ModifiedTime,EffectiveTime,ExpectedNextEventTime
1,660cf7b289f3707229219feb,f55c3cea-c6b0-5ed6-94f4-c6da195c006d,-,-,0,update,"endTime,duration,route",OperationInProgress,TruckLoad,Current Truck LOAD Mission for TRUCK-T583,04-03-2024 06:27,TRUCK-T583,ShovelAgent-SHOVEL-S11,04-03-2024 06:27,04-03-2024 06:30,00:03:19,LOCATION-C3MIL,LOCATION-B5900AM1,FALSE,-,04-03-2024 06:31,04-03-2024 06:31,04-04-2024 06:31
2,660cf7b289f3707229219fe8,fa71717a-b6bf-5c4c-911f-4e4eac1ec1d5,-,-,0,update,"endTime,duration,route",OperationInProgress,TruckLoad,Current Truck LOAD Mission for TRUCK-T581,04-03-2024 06:27,TRUCK-T581,ShovelAgent-SHOVEL-S11,04-03-2024 06:27,04-03-2024 06:30,00:03:19,LOCATION-AMMOPROJ,LOCATION-B5900AM1,FALSE,-,04-03-2024 06:31,04-03-2024 06:31,04-04-2024 06:31
3,660cf7b289f3707229219fe5,1e6d3c48-7da9-59f7-ae87-172484235fc9,-,-,0,update,"endTime,duration,route",OperationInProgress,TruckLoad,Current Truck LOAD Mission for TRUCK-T561,04-03-2024 06:27,TRUCK-T561,ShovelAgent-SHOVEL-S11,04-03-2024 06:27,04-03-2024 06:30,00:03:19,LOCATION-SUN5300L4,LOCATION-B5900AM1,FALSE,-,04-03-2024 06:31,04-03-2024 06:31,04-04-2024 06:31
4,660cf7b289f3707229219fdf,7f948189-86ce-51d7-a30d-fff2636731d3,-,-,0,update,"endTime,duration,route",OperationInProgress,TruckLoad,Current Truck LOAD Mission for TRUCK-T500,04-03-2024 06:26,TRUCK-T500,ShovelAgent-SHOVEL-S11,04-03-2024 06:26,04-03-2024 06:30,00:03:19,LOCATION-C3MIL,LOCATION-B5900AM1,FALSE,-,04-03-2024 06:31,04-03-2024 06:31,04-04-2024 06:31
5,660cf7b289f3707229219fe2,57e4edce-ce8f-528c-9426-2030c635dd51,-,-,0,update,"endTime,duration,route",OperationInProgress,TruckLoad,Current Truck LOAD Mission for TRUCK-T501,04-03-2024 06:27,TRUCK-T501,ShovelAgent-SHOVEL-S11,04-03-2024 06:27,04-03-2024 06:30,00:03:19,LOCATION-PCR6375E,LOCATION-B5900AM1,FALSE,-,04-03-2024 06:31,04-03-2024 06:31,04-04-2024 06:31
6,660cf7b389f370722921a042,20317889-9adf-5e7f-8b99-4c903152e138,-,-,0,update,"endTime,duration,route",OperationInProgress,TruckLoad,Current Truck LOAD Mission for TRUCK-T616,04-03-2024 06:27,TRUCK-T616,ShovelAgent-SHOVEL-S11,04-03-2024 06:27,04-03-2024 06:30,00:03:19,LOCATION-AMTPROJ,LOCATION-B5900AM1,FALSE,-,04-03-2024 06:31,04-03-2024 06:31,04-04-2024 06:31
7,660cf7b389f370722921a063,f0d37bf3-04d9-5e42-b2a1-2b7e0e904ec2,-,-,0,update,"endTime,duration,route",OperationInProgress,TruckLoad,Current Truck LOAD Mission for TRUCK-T604,04-03-2024 06:27,TRUCK-T604,ShovelAgent-SHOVEL-S11,04-03-2024 06:27,04-03-2024 06:30,00:03:19,LOCATION-PCR6375E,LOCATION-B5900AM1,FALSE,-,04-03-2024 06:31,04-03-2024 06:31,04-04-2024 06:31
8,660cf7b389f370722921a003,bc19e89d-328d-5a38-a7b4-518d4f184791,-,-,0,update,"endTime,duration,route",OperationInProgress,TruckLoad,Current Truck LOAD Mission for TRUCK-T645,04-03-2024 06:27,TRUCK-T645,ShovelAgent-SHOVEL-S11,04-03-2024 06:27,04-03-2024 06:30,00:03:19,LOCATION-C3MIL,LOCATION-B5900AM1,FALSE,-,04-03-2024 06:31,04-03-2024 06:31,04-04-2024 06:31
9,660cf7b389f3707229219ff4,4ea7817d-68df-5b79-90b0-9c20b0ef4e98,-,-,0,update,"endTime,duration,route",OperationInProgress,TruckLoad,Current Truck LOAD Mission for TRUCK-T651,04-03-2024 06:27,TRUCK-T651,ShovelAgent-SHOVEL-S11,04-03-2024 06:27,04-03-2024 06:30,00:03:19,LOCATION-AMTPROJ,LOCATION-B5900AM1,FALSE,-,04-03-2024 06:31,04-03-2024 06:31,04-04-2024 06:31
10,660cf7b389f370722921a039,76550b79-2089-578a-a81f-e8ee87c7e9ed,-,-,0,update,"endTime,duration,route",OperationInProgress,TruckLoad,Current Truck LOAD Mission for TRUCK-T622,04-03-2024 06:27,TRUCK-T622,ShovelAgent-SHOVEL-S11,04-03-2024 06:27,04-03-2024 06:30,00:03:19,LOCATION-PCR6375E,LOCATION-B5900AM1,FALSE,-,04-03-2024 06:31,04-03-2024 06:31,04-04-2024 06:31
11,660cf7b389f370722921a015,63fe8501-8f4e-5483-87b9-e8d7db8019b6,-,-,0,update,"endTime,duration,route",OperationInProgress,TruckLoad,Current Truck LOAD Mission for TRUCK-T638,04-03-2024 06:27,TRUCK-T638,ShovelAgent-SHOVEL-S11,04-03-2024 06:27,04-03-2024 06:30,00:03:19,LOCATION-AMTPROJ,LOCATION-B5900AM1,FALSE,-,04-03-2024 06:31,04-03-2024 06:31,04-04-2024 06:31
